num_cases,num_deaths,fatality_rate,f_rate,pop,D1,D2,MI,P,CHW,F,LE,PG,PR,PRG,PUG,PU,S,SU,SR,W,WU,WR,OD,ODU,ODR,chol_per_1000,death_by_chol_per_100k,temp_c,rain_mm
2,0.0,0.0,0.0,34005274.0,0.0,0.0,0.0,2.068,0.0,1.6269,81.1975609756,1.11395972071,19.063,0.179337487709,1.33536705317,80.937,99.8,100.0,99.0,99.8,100.0,99.0,0.0,0.0,0.0,5.88144062595e-05,0.0,-4.3193125,478.2864
9,0.0,0.0,0.0,34342780.0,0.0,0.0,0.0,0.0,0.0,1.61,81.4487804878,0.987617711325,18.885,0.0494908307481,1.20729899128,81.115,99.8,100.0,99.0,99.8,100.0,99.0,0.0,0.0,0.0,0.000262063816616,0.0,-5.67828083333,469.4752
1,0.0,0.0,0.0,35155451.0,0.0,0.0,0.0,0.0,0.0,1.587,81.7650487805,1.15844291284,18.528,0.196982080364,1.37839026847,81.472,99.8,100.0,99.0,99.8,100.0,99.0,0.0,0.0,0.0,2.84450909192e-05,0.0,-6.44562666667,462.7639
2,0.0,0.0,0.0,35544564.0,0.0,0.0,0.0,0.0,0.0,1.6,81.9566097561,1.10075486953,18.35,0.135394012212,1.31899835502,81.65,99.8,100.0,99.0,99.8,100.0,99.0,0.0,0.0,0.0,5.62673943616e-05,0.0,-6.36397416667,475.4889
3,0.0,0.0,0.0,35848610.0,0.0,0.0,0.0,0.0,0.0,1.6,82.1376341463,0.851756046537,18.172,-0.123005321398,1.06952213035,81.828,99.8,100.0,99.0,99.8,100.0,99.0,0.0,0.0,0.0,8.36852530684e-05,0.0,-6.01659583333,452.2465
117,15.0,12.82,12.8205128205,4530903.0,0.0,0.0,0.0,0.0,0.0,4.537,48.3504390244,1.91474626715,60.966,1.57740661702,2.44391381167,39.034,21.1,42.4,7.4,67.7,89.1,54.0,23.0,4.6,34.8,0.0258226671372,0.331059835092,24.6152166667,1342.19361
21,0.0,0.0,0.0,4619500.0,0.0,0.0,0.0,0.0,0.0,4.451,49.1052926829,1.93652167505,60.742,1.56844987274,2.50870470994,39.258,21.5,43.6,7.2,68.2,89.6,54.4,22.5,4.4,34.2,0.00454594653101,0.0,25.5978666667,1405.79686
6395,175.0,2.74,2.7365129007,11896380.0,23.1,13.3,193.9,0.0,0.0,6.594,49.8620731707,3.29714491839,78.017,3.23436294695,3.520274961,21.983,11.6,30.5,6.3,49.7,69.8,44.1,65.9,14.9,80.3,0.537558484178,1.47103572683,28.4907916667,394.8436
17267,458.0,2.65,2.65245844675,12298512.0,0.0,0.0,0.0,0.0,0.0,6.485,50.3319512195,3.32441272924,77.952,3.24105973275,3.61967044898,22.048,11.8,30.9,6.4,50.2,70.8,44.4,65.3,14.4,79.7,1.40399098688,3.7240277523,26.5728416667,347.01111
1,0.0,0.0,0.0,17201305.0,0.0,0.0,0.0,0.0,0.0,1.806,80.5869756098,1.08871240451,11.21,-0.714767855886,1.31873704777,88.79,98.3,99.6,87.6,98.5,99.6,89.4,0.2,0.0,1.5,5.81351240502e-05,0.0,8.43285166667,584.9011
2,0.0,0.0,0.0,17575833.0,0.0,0.0,0.0,0.0,0.0,1.774,81.1979268293,1.07193883582,10.825,-0.658925214486,1.28410314959,89.175,99.0,100.0,90.9,99.0,99.7,93.3,0.1,0.0,1.1,0.000113792615121,0.0,8.5956575,554.5318
1,0.0,0.0,0.0,17762647.0,0.0,0.0,0.0,0.0,0.0,1.761,81.496195122,1.0572935807,10.644,-0.628910341317,1.26006097658,89.356,99.0,100.0,90.9,99.0,99.7,93.3,0.1,0.0,1.1,5.62979155078e-05,0.0,8.47378,556.7695
157,0.0,0.0,0.0,1337705000.0,0.0,0.0,0.0208272052376,1.456,0.806,1.539,75.0074146341,0.482959688678,50.774,-2.13347423873,3.25536549409,49.226,70.8,82.9,59.0,91.4,97.4,85.6,0.8,0.0,1.6,0.000117365188887,0.0,6.996725,613.7735
26,0.0,0.0,0.0,1344130000.0,0.0,0.0,0.0,1.491,0.831,1.544,75.2021707317,0.47915045425,49.427,-2.2096075001,3.17874029877,50.573,71.9,83.6,60.0,92.3,97.4,87.1,0.8,0.0,1.6,1.9343367085e-05,0.0,6.86400833333,517.93326
77,0.0,0.0,0.0,1350695000.0,0.0,0.0,0.0,1.94,0.0,1.549,75.3929268293,0.487231117971,48.111,-2.2113681757,3.05612962907,51.889,73.1,84.4,60.9,93.2,97.5,88.5,0.8,0.0,1.6,5.70076886344e-05,0.0,6.579595,609.7502
53,1.0,1.89,1.88679245283,1357380000.0,0.0,0.0,0.0,0.0,0.0,1.555,75.5851463415,0.493709633511,46.832,-2.20070135884,2.9286985093,53.168,74.2,85.1,61.8,94.0,97.5,90.0,0.7,0.0,1.6,3.90458088376e-05,7.36713374295e-05,7.19379833333,599.63316
24,0.0,0.0,0.0,1364270000.0,0.0,0.0,0.0,0.0,0.0,1.562,75.7822682927,0.50631159178,45.59,-2.18152204356,2.81543653576,54.41,75.4,85.9,62.8,94.8,97.5,91.5,0.7,0.0,1.6,1.7591825665e-05,0.0,6.9413475,550.13404
13,0.0,0.0,0.0,1371220000.0,0.0,0.0,0.000158545166127,0.0,0.0,1.569,75.9863414634,0.508136747292,44.386,-2.16829226805,2.69683753591,55.614,76.5,86.6,63.7,95.5,97.5,93.0,0.7,0.0,1.6,9.48060850921e-06,0.0,7.48492333333,601.3164
762,0.0,0.0,0.0,4177435.0,0.0,0.0,0.0,0.0,0.0,4.994,60.0851707317,2.70185233263,36.334,1.50357611065,3.39219593661,63.666,14.4,19.5,5.6,74.8,95.7,38.2,8.3,2.0,19.3,0.182408583257,0.0,24.790025,1645.8507
1181,37.0,3.13,3.13293818798,4286188.0,48.4,28.0,0.0,0.0,0.0,4.961,60.923902439,2.57003380106,35.9,1.36835251893,3.24941253237,64.1,14.6,19.6,5.6,75.3,95.7,38.8,8.2,1.9,19.5,0.275536210731,0.863237916769,24.8226333333,1621.3143
1624,221.0,13.61,13.6083743842,4394334.0,0.0,0.0,0.0,0.0,0.0,4.919,61.6663902439,2.49182239864,35.469,1.28401143295,3.1619524605,64.531,14.8,19.8,5.6,75.8,95.8,39.4,8.2,1.8,19.7,0.369566810352,5.02920351525,24.88405,1579.5029
417,3.0,0.72,0.719424460432,11342631.0,0.0,0.0,0.0,0.0,0.0,1.628,79.1416097561,0.168188789054,23.219,-0.227258947232,0.288082952914,76.781,92.7,94.0,88.2,94.1,96.1,87.3,0.7,0.4,1.8,0.0367639571454,0.0264488900327,25.5577416667,1471.9879
181,0.0,0.0,0.0,11362505.0,0.0,0.0,0.0,0.0,0.0,1.622,79.2563902439,0.175061757618,23.128,-0.21761594732,0.293506626334,76.872,93.1,94.4,89.1,94.3,96.2,88.1,0.6,0.4,1.6,0.0159295859496,0.0,25.70325,1300.28127
