title,company,location,salary,description,city,state
Research Scientist,Ohio State University Medical Center,"Ohio, OH",48738,"Research Scientist to plan, develop and build an independent research program resulting in publishable contributions to knowledge which answer important...",Ohio,OH
Data Scientist,"Gunther Douglas, Inc.","Washington,  DC",125000,"Five (5) or more years of relevant advanced analytics experience – strong proficiency in advanced statistical, predictive and machine learning techniques (agent...",Washington, DC
Machine learning / AI / Restful API web services Engineer at...,CareerMonks,"Atlanta,  GA",120000,"Familiarity with No SQL databases, bot framework, data streaming and integrating unstructured data will be plus....",Atlanta, GA
NETWORK OPERATIONS RESEARCH ANALYST EAS,United States Postal Service,"Washington,  DC",88746,"The salary will be based on previous experience, salary history, and current postal pay policies. We offer excellent benefits including health and life...",Washington, DC
DATA ANALYST,HRA/DEPT OF SOCIAL SERVICES,"Manhattan,  NY",59984,"The Data Analyst will:. Experience with data visualization techniques. Organizations to utilize new technological resources, encourage data sharing,....",Manhattan, NY
Data Scientist,indify,"New York,  NY",130000,"You'll have your hands in all parts of indify's data pipeline including building out the algorithms driving the heart of indify, constructing data pipelines to...",New York, NY
Data Scientist,Oliver James Associates,"New York,  NY",160000,Data Science / Analytics:. If you are a Data Scientist with extensive Machine Learning experience then get in touch with me for a confidential career discussion...,New York, NY
Sr Quantitative Finance Analyst,Sr Quantitative Finance Analyst,"New York,  NY",140000,"Job description This role is responsible for: * leading the development efforts of new models and diagnostic tools, * define and enhance the bank credit and",New York, NY
Data Scientist,WorldCover,"New York,  NY",90000,We are looking for a talented data scientist who is excited to tackle the challenges unique to our markets:. Optimizing customer data collection processes and...,New York, NY
Data Scientist,Scienaptic Systems Inc,"New York,  NY",100000,"We are looking for an energetic and experienced person as Data Scientist. Ability to code on SAS/R for data munging, SQL queries based data exploration &...",New York, NY
Data Architect/ Data Engineer,"Envisagenics, Inc.","New York,  NY",87500,"He/she will collaborate with a team of software developers, data scientists and front-end designers to help tune databases for peak performance, ensure...",New York, NY
Senior Research Analyst,Research Foundation of The City University of New...,"New York,  NY",75000,"Follow protocols for gathering quantitative and qualitative data, coding data or information, constructing data bases using specified technology, analyzing data...",New York, NY
Data Scientist,Enterprise Select,"New York,  NY",130000,"2+ years practical experience as a data scientist or similar quantitative role. We are specifically looking for an experienced Data Scientist who is proactive,...",New York, NY
Data Analyst,ADMIN FOR CHILDREN'S SVCS,"Manhattan,  NY",79249,"Perform analytic tasks, using individual and/or case level data as well as aggregate data, including running queries, conducting analyses and developing reports...",Manhattan, NY
Junior Data Scientist,Oliver James Associates,"New York,  NY",110500,"3+ years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information...",New York, NY
Principal Data Scientist,Averity,"New York,  NY",167500,"As a Principal Data Scientist on our team, you will be a hands-on Data Scientist creating actionable insights based upon our big data sets....",New York, NY
Lead Data Scientist,Averity,"New York,  NY",130000,"As a Data Scientist in our Operational Analytics team, you lead and manage a team of data scientists ultimately responsible for driving our company's...",New York, NY
"Data Manager – Researcher, Bureau of Children, Youth & Famil...",DEPT OF HEALTH/MENTAL HYGIENE,"New York,  NY",75557,"Experience designing and conducting analyses of large secondary datasets, including analysis of complex survey data....",New York, NY
Health Scientist,Centers for Disease Control and Prevention,"New York,  NY",117437,Analyze scientific investigation data. The Centers for Disease Control and Prevention (CDC) is the agency Americans trust with their lives....,New York, NY
Senior Data Scientist ( FinTech / Python / R / ML / Big Data...,Venturi Ltd,"New York,  NY",160000,"Data Scientist, FinTech, Python, R, Machine Learning, Big Data Engineer, Hadoop, Cloudera, SQL, NoSQL, Hortonworks, Java, Data Science, Analyst, Analytics, PhD,...",New York, NY
"Senior Data Scientist for Multi-Billion, Top-Ranked Global C...",Averity,"New York,  NY",110000,"Data Scientist in our Analytics team, you will be join a team of experienced data scientists responsible for providing advanced analytics to support strategic...",New York, NY
Senior Data Scientist ( FinTech / Fraud / Python / R / Machi...,Venturi Ltd,"New York,  NY",117500,"As the Senior Data Scientist you will:. Data Scientist, FinTech, Python, R, Machine Learning, Big Data Engineer, Hadoop, Cloudera, SQL, NoSQL, Hortonworks, Java...",New York, NY
Field Scientist,Miller Advertising,"New York,  NY",62000,"City Research Scientist; Compile, analyze and interpret data and present results. Strong GIS, spatial and statistical analysis and data management skills....",New York, NY
Post-doc Research Scientist,Research Foundation of The City University of New...,"New York,  NY",62500,Postdoctoral Research Scientist. Conducting GIS research on statistical methods for integrating citizen collected data and data from new generation low-cost air...,New York, NY
"Research Scientist for Data Integrity, World Trade Center He...",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan,  NY",87915,"Under guidance of the Research Director, serve as Registry lead for survey data integrity and data cleaning and develop and manage implementation of data...",Manhattan, NY
Field Scientist,DEPT OF PARKS & RECREATION,"Manhattan,  NY",62000,"Compile, analyze and interpret data and present results. Strong GIS, spatial and statistical analysis and data management skills....",Manhattan, NY
Machine Learning Engineer,Darwin Recruitment,"New York,  NY",130000,"Experience with data processing and storage frameworks like Hadoop, Scaling, Spark. Apply machine learning, NLP and deep learning methods to ever growing data...",New York, NY
"Panel Maintenance Analyst, World Trade Center Health Registr...",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan,  NY",65977,"-Assisting in survey intake, data capture processes, data cleaning and outreach for Registry follow-up surveys and ancillary studies....",Manhattan, NY
Data Analyst,POLICE DEPARTMENT,"New York,  NY",79249,"Extensive knowledge of applied statistics, analytics, machine learning, data science or big data tools....",New York, NY
"Project Associate, EQUAL",NYU Global TIES for Children,"New York,  NY",52000,Willingness and ideally interest in developing further statistical and data analysis skills. Alice Wuermli (Research Scientist and Associate Director of Global...,New York, NY
Machine Learning Researcher,Execu | Search,"New York,  NY",125000,Data collection and analysis. Demonstrated ability to conduct independent research utilizing large data sets....,New York, NY
"Environmental Analyst, Bureau of Environmental Surveillance...",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan,  NY",78790,Working with analytics team members to improve data quality and report tracking. Completing quality assurance review and documentation for routine and custom...,Manhattan, NY
"VP Data Scientist, Data Science Manager, Data Scientist",Oliver James Associates,"New York,  NY",180000,"We are partnering a Global Insurance organisation to appoint a VP Data Scientist, Data Science Manager and Data Scientist with experience in Life Insurance....",New York, NY
Hydrologist,DEPT OF PARKS & RECREATION,"Manhattan,  NY",78000,"Strong GIS, spatial and statistical analysis and data management skills. Compile, analyze and interpret data and present results using field and desktop...",Manhattan, NY
EpicCare Ambulatory Analyst: Research-Registry TP136,Edwards Place of Employment,"New York,  NY",112500,Salary: $100k - $125k Relo: $5k signing bonus Our client company is looking for an experienced analyst to tailor the EPIC system to fit their needs. *This,New York, NY
"Quantitative Business Analyst, AVP - NYC",Huxley Associates,"New York,  NY",135000,"My client, a leading global investment bank is seeking an associate level/AVP quant analyst to work in a hybrid quant business analyst role for their Risk",New York, NY
Data Engineer,Harnham,"New York,  NY",150000,Work closely with data scientists to help map data fields to hypotheses and prepare data for use in their highly advanced analytical models....,New York, NY
Senior Project Manager,HRA/DEPT OF SOCIAL SERVICES,"Manhattan,  NY",86565,"Provides technical assistance on available data sources, data base construction,. Research and utilize program data and administrative data to manage project....",Manhattan, NY
Data Analyst/Modeler,DEPARTMENT OF FINANCE,"Manhattan,  NY",75557,"Strong programming, data analysis, statistical sampling or data mining experience. The Tax Policy, Data Intelligence Group (DIG) unit seeks an experienced...",Manhattan, NY
Data Scientist (People Analytics/HR),Averity,"New York,  NY",215000,You should have working experience as a Data Scientist past your education. If you are a Data Scientist with a particular interest in applying data analytics to...,New York, NY
NLP Scientist-R&D,WSI Nationwide,"New York,  NY",140000,"NLP Scientist-R&D, Data Scientist. They need great scientists who also are great coders. First and foremost we need great scientists who also are great coders....",New York, NY
